scenario,can_id,count_periods,mean_period_ms,median_period_ms,min_period_ms,max_period_ms,std_period_ms
normal,600,634,111.99874569564963,111.9990348815918,110.88895797729492,113.07907104492188,0.47635904200762336
normal,601,634,111.99873516612249,111.99951171875,110.86893081665039,113.0979061126709,0.4782410616125334
normal,602,634,111.99873366190432,111.9990348815918,110.84985733032227,113.11817169189453,0.4785690067739768
normal,603,341,207.9977387906519,207.9939842224121,206.82191848754883,209.2301845550537,0.6439031439585654
normal,604,341,207.99773319725418,207.9939842224121,206.79497718811035,209.2440128326416,0.644466775775977
normal,606,138,511.9964333548062,511.99543476104736,510.93387603759766,513.0798816680908,0.6393137188479511
normal,607,341,207.99772970138056,207.9939842224121,206.7868709564209,209.25116539001465,0.6440142566485838
normal,60D,14,2837.6822812216624,1160.4803800582886,238.97385597229004,11630.933046340942,3696.0671574566377
spoofing_handbrake,600,785,112.00137715430776,111.99617385864258,110.90612411499023,113.06619644165039,0.4734471699296112
spoofing_handbrake,601,785,112.00137442084635,111.99617385864258,110.91494560241699,113.07287216186523,0.47578695596119164
spoofing_handbrake,602,785,112.00137563571809,111.99688911437988,110.91399192810059,113.07597160339355,0.47591396878028264
spoofing_handbrake,603,422,208.00274412778882,207.99791812896729,206.87603950500488,209.12408828735352,0.6341414670689787
spoofing_handbrake,604,2002,43.84472725036499,50.18782615661621,0.02384185791015625,209.0599536895752,27.938155305625706
spoofing_handbrake,606,170,512.0006421033074,511.9965076446533,510.85591316223145,513.1230354309082,0.6391647577663301
spoofing_handbrake,607,422,208.00270853449382,207.99756050109863,206.8960666656494,209.11502838134766,0.6348810108480234
spoofing_reverse,600,634,111.99885174303024,112.00094223022461,110.8860969543457,113.0678653717041,0.4734077162973192
spoofing_reverse,601,634,111.99884986275754,112.00094223022461,110.87703704833984,113.07406425476074,0.473585138151169
spoofing_reverse,602,634,111.99884835853938,112.00094223022461,110.87512969970703,113.07716369628906,0.47359953367082536
spoofing_reverse,603,341,207.99792337277768,207.99612998962402,206.90011978149414,209.15508270263672,0.6476702525092456
spoofing_reverse,604,341,207.9979205760788,207.99612998962402,206.91299438476562,209.14793014526367,0.6469014199523341
spoofing_reverse,606,138,511.9952550832776,511.99793815612793,510.87498664855957,513.1089687347412,0.8170400026232532
spoofing_reverse,607,1687,42.12061653634678,50.167083740234375,0.07200241088867188,209.04898643493652,22.500036128120367
spoofing_reverse,60D,1,3375.9560585021973,3375.9560585021973,3375.9560585021973,3375.9560585021973,
