timestamp,bus,can_id,payload
1780065239.587526,vcan0,603,00
1780065239.587558,vcan0,604,00
1780065239.587576,vcan0,607,01000000
1780065239.651512,vcan0,600,00000000
1780065239.651539,vcan0,601,00000000
1780065239.651555,vcan0,602,7F000000
1780065239.667487,vcan0,606,00
1780065239.764502,vcan0,600,00000000
1780065239.764532,vcan0,601,00000000
1780065239.764548,vcan0,602,7F000000
1780065239.796499,vcan0,603,00
1780065239.796525,vcan0,604,00
1780065239.796541,vcan0,607,01000000
1780065239.876499,vcan0,600,00000000
1780065239.876525,vcan0,601,00000000
1780065239.876542,vcan0,602,7F000000
1780065239.988501,vcan0,600,00000000
1780065239.988528,vcan0,601,00000000
1780065239.988544,vcan0,602,7F000000
1780065240.004487,vcan0,603,00
1780065240.004509,vcan0,604,00
1780065240.004525,vcan0,607,01000000
1780065240.099496,vcan0,600,00000000
1780065240.099520,vcan0,601,00000000
1780065240.099535,vcan0,602,7F000000
1780065240.179508,vcan0,606,00
1780065240.211489,vcan0,600,00000000
1780065240.211513,vcan0,601,00000000
1780065240.211528,vcan0,602,7F000000
1780065240.211543,vcan0,603,00
1780065240.211555,vcan0,604,00
1780065240.211567,vcan0,607,01000000
1780065240.323498,vcan0,600,00000000
1780065240.323524,vcan0,601,00000000
1780065240.323540,vcan0,602,7F000000
1780065240.419497,vcan0,603,00
1780065240.419525,vcan0,604,00
1780065240.419541,vcan0,607,01000000
1780065240.435486,vcan0,600,00000000
1780065240.435506,vcan0,601,00000000
1780065240.435520,vcan0,602,7F000000
1780065240.547501,vcan0,600,00000000
1780065240.547529,vcan0,601,00000000
1780065240.547547,vcan0,602,7F000000
1780065240.627503,vcan0,603,00
1780065240.627530,vcan0,604,00
1780065240.627547,vcan0,607,01000000
1780065240.659485,vcan0,600,00000000
1780065240.659506,vcan0,601,00000000
1780065240.659522,vcan0,602,7F000000
1780065240.691479,vcan0,606,00
1780065240.772489,vcan0,600,00000000
1780065240.772515,vcan0,601,00000000
1780065240.772530,vcan0,602,7F000000
1780065240.836498,vcan0,603,00
1780065240.836528,vcan0,604,00
1780065240.836546,vcan0,607,01000000
1780065240.884482,vcan0,600,00000000
1780065240.884506,vcan0,601,00000000
1780065240.884522,vcan0,602,7F000000
1780065240.996486,vcan0,600,00000000
1780065240.996511,vcan0,601,00000000
1780065240.996526,vcan0,602,7F000000
1780065241.043476,vcan0,603,00
1780065241.043499,vcan0,604,00
1780065241.043514,vcan0,607,01000000
1780065241.107533,vcan0,600,00000000
1780065241.107565,vcan0,601,00000000
1780065241.107580,vcan0,602,7F000000
1780065241.203495,vcan0,606,00
1780065241.219501,vcan0,600,00000000
1780065241.219526,vcan0,601,00000000
1780065241.219542,vcan0,602,7F000000
1780065241.251474,vcan0,603,00
1780065241.251497,vcan0,604,00
1780065241.251512,vcan0,607,01000000
1780065241.331489,vcan0,600,00000000
1780065241.331515,vcan0,601,00000000
1780065241.331531,vcan0,602,7F000000
1780065241.443480,vcan0,600,00000000
1780065241.443504,vcan0,601,00000000
1780065241.443520,vcan0,602,7F000000
1780065241.459470,vcan0,603,00
1780065241.459490,vcan0,604,00
1780065241.459506,vcan0,607,01000000
1780065241.555475,vcan0,600,00000000
1780065241.555499,vcan0,601,00000000
1780065241.555514,vcan0,602,7F000000
1780065241.667484,vcan0,600,00000000
1780065241.667511,vcan0,601,00000000
1780065241.667527,vcan0,602,7F000000
1780065241.667542,vcan0,603,00
1780065241.667555,vcan0,604,00
1780065241.667568,vcan0,607,01000000
1780065241.716497,vcan0,606,00
1780065241.780485,vcan0,600,00000000
1780065241.780511,vcan0,601,00000000
1780065241.780526,vcan0,602,7F000000
1780065241.876498,vcan0,603,00
1780065241.876523,vcan0,604,00
1780065241.876540,vcan0,607,01000000
1780065241.892480,vcan0,600,00000000
1780065241.892504,vcan0,601,00000000
1780065241.892522,vcan0,602,7F000000
1780065242.004487,vcan0,600,00000000
1780065242.004514,vcan0,601,00000000
1780065242.004530,vcan0,602,7F000000
1780065242.083493,vcan0,603,00
1780065242.083518,vcan0,604,00
1780065242.083536,vcan0,607,01000000
1780065242.115502,vcan0,600,00000000
1780065242.115529,vcan0,601,00000000
1780065242.115545,vcan0,602,7F000000
1780065242.227493,vcan0,600,00000000
1780065242.227523,vcan0,601,00000000
1780065242.227540,vcan0,602,7F000000
1780065242.227557,vcan0,606,00
1780065242.291505,vcan0,603,00
1780065242.291530,vcan0,604,00
1780065242.291547,vcan0,607,01000000
1780065242.339471,vcan0,600,00000000
1780065242.339494,vcan0,601,00000000
1780065242.339508,vcan0,602,7F000000
1780065242.451483,vcan0,600,00000000
1780065242.451514,vcan0,601,00000000
1780065242.451530,vcan0,602,7F000000
1780065242.499465,vcan0,603,00
1780065242.499487,vcan0,604,00
1780065242.499502,vcan0,607,01000000
1780065242.563472,vcan0,600,00000000
1780065242.563497,vcan0,601,00000000
1780065242.563514,vcan0,602,7F000000
1780065242.675497,vcan0,600,00000000
1780065242.675525,vcan0,601,00000000
1780065242.675541,vcan0,602,7F000000
1780065242.708509,vcan0,603,00
1780065242.708534,vcan0,604,00
1780065242.708551,vcan0,607,01000000
1780065242.740486,vcan0,606,00
1780065242.788565,vcan0,600,00000000
1780065242.788599,vcan0,601,00000000
1780065242.788618,vcan0,602,7F000000
1780065242.900492,vcan0,600,00000000
1780065242.900519,vcan0,601,00000000
